Date,market,variable,return,ym
30-11-94,AUT,MOM,-2.235193196,199411
30-12-94,AUT,MOM,-0.774716217,199412
31-01-95,AUT,MOM,1.216132744,199501
28-02-95,AUT,MOM,0.017376725,199502
31-03-95,AUT,MOM,4.587956281,199503
28-04-95,AUT,MOM,3.181950615,199504
31-05-95,AUT,MOM,-3.422898381,199505
30-06-95,AUT,MOM,7.654586235,199506
31-07-95,AUT,MOM,-2.644206321,199507
31-08-95,AUT,MOM,-1.946670826,199508
29-09-95,AUT,MOM,2.779008803,199509
31-10-95,AUT,MOM,-0.063400581,199510
30-11-95,AUT,MOM,1.168061844,199511
29-12-95,AUT,MOM,2.170647601,199512
31-01-96,AUT,MOM,0.754576564,199601
29-02-96,AUT,MOM,1.309350101,199602
29-03-96,AUT,MOM,1.410457296,199603
30-04-96,AUT,MOM,4.194155126,199604
31-05-96,AUT,MOM,3.667655671,199605
28-06-96,AUT,MOM,-0.60465193,199606
31-07-96,AUT,MOM,3.284133434,199607
30-08-96,AUT,MOM,4.836277286,199608
30-09-96,AUT,MOM,1.03982775,199609
31-10-96,AUT,MOM,-1.808053174,199610
29-11-96,AUT,MOM,2.472457356,199611
31-12-96,AUT,MOM,0.251356568,199612
31-01-97,AUT,MOM,4.356037815,199701
28-02-97,AUT,MOM,0.430947846,199702
31-03-97,AUT,MOM,1.812228289,199703
30-04-97,AUT,MOM,1.895673475,199704
30-05-97,AUT,MOM,5.894119842,199705
30-06-97,AUT,MOM,3.199506891,199706
31-07-97,AUT,MOM,-1.731572016,199707
29-08-97,AUT,MOM,-1.549619694,199708
30-09-97,AUT,MOM,3.318624647,199709
31-10-97,AUT,MOM,1.816600477,199710
28-11-97,AUT,MOM,-4.448006603,199711
31-12-97,AUT,MOM,-0.890989749,199712
30-01-98,AUT,MOM,-3.301317841,199801
27-02-98,AUT,MOM,-3.042842538,199802
31-03-98,AUT,MOM,-1.944241065,199803
30-04-98,AUT,MOM,8.097217749,199804
29-05-98,AUT,MOM,2.64226857,199805
30-06-98,AUT,MOM,-3.473774726,199806
31-07-98,AUT,MOM,5.080918122,199807
31-08-98,AUT,MOM,-0.146923984,199808
30-09-98,AUT,MOM,1.430841378,199809
30-10-98,AUT,MOM,-1.981404757,199810
30-11-98,AUT,MOM,0.178682861,199811
31-12-98,AUT,MOM,-6.757101081,199812
29-01-99,AUT,MOM,3.714266143,199901
26-02-99,AUT,MOM,-2.05791633,199902
31-03-99,AUT,MOM,-2.095014196,199903
30-04-99,AUT,MOM,-3.020728642,199904
31-05-99,AUT,MOM,-0.994874526,199905
30-06-99,AUT,MOM,-0.776678998,199906
30-07-99,AUT,MOM,2.351119545,199907
31-08-99,AUT,MOM,-2.833311545,199908
30-09-99,AUT,MOM,2.978487108,199909
29-10-99,AUT,MOM,-3.222236747,199910
30-11-99,AUT,MOM,-0.194981814,199911
31-12-99,AUT,MOM,-0.7966344,199912
31-01-00,AUT,MOM,-7.996939806,200001
29-02-00,AUT,MOM,0.501507921,200002
31-03-00,AUT,MOM,-0.04525535,200003
28-04-00,AUT,MOM,-2.475005443,200004
31-05-00,AUT,MOM,4.871522377,200005
30-06-00,AUT,MOM,3.473383495,200006
31-07-00,AUT,MOM,-0.490875212,200007
31-08-00,AUT,MOM,0.46399498,200008
29-09-00,AUT,MOM,2.848756166,200009
31-10-00,AUT,MOM,-1.178012799,200010
30-11-00,AUT,MOM,-0.513184922,200011
29-12-00,AUT,MOM,-2.929011862,200012
31-01-01,AUT,MOM,7.990470587,200101
28-02-01,AUT,MOM,-6.681359245,200102
30-03-01,AUT,MOM,3.301532487,200103
30-04-01,AUT,MOM,2.994783814,200104
31-05-01,AUT,MOM,-1.19734364,200105
29-06-01,AUT,MOM,-1.259653324,200106
31-07-01,AUT,MOM,2.929275821,200107
